city,year,weekofyear,ndvi_avg,ndvi_median,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm
-1,1990,18,0.15060625,0.15010835,12.42,297.5728571,297.7428571,292.4142857,299.8,295.9,32,73.36571429,14.01285714,2.628571429,25.44285714,6.9,29.4,20,16
-1,1990,19,0.15747945,0.1589214,22.82,298.2114286,298.4428571,293.9514286,300.9,296.4,17.94,77.36857143,15.37285714,2.371428571,26.71428571,6.371428571,31.7,22.2,8.6
-1,1990,20,0.1333149,0.16402145,34.54,298.7814286,298.8785714,295.4342857,300.5,297.3,26.1,82.05285714,16.84857143,2.3,26.71428571,6.485714286,32.2,22.8,41.4
-1,1990,21,0.2092857,0.2317214,15.36,298.9871429,299.2285714,295.31,301.4,297,13.9,80.33714286,16.67285714,2.428571429,27.47142857,6.771428571,33.3,23.3,4
-1,1990,22,0.239235,0.24927,7.52,299.5185714,299.6642857,295.8214286,301.9,297.5,12.2,80.46,17.21,3.014285714,28.94285714,9.371428571,35,23.9,5.8
-1,1990,23,0.203635733,0.1817429,9.58,299.63,299.7642857,295.8514286,302.4,298.1,26.49,79.89142857,17.21285714,2.1,28.11428571,6.942857143,34.4,23.9,39.1
-1,1990,24,0.1552607,0.1589857,3.48,299.2071429,299.2214286,295.8657143,301.3,297.7,38.6,82,17.23428571,2.042857143,27.41428571,6.771428571,32.2,23.3,29.7
-1,1990,25,0.107375,0.1027643,151.12,299.5914286,299.5285714,296.5314286,300.6,298.4,30,83.37571429,17.97714286,1.571428571,28.37142857,7.685714286,33.9,22.8,21.1
-1,1990,26,0.1244491,0.1245857,19.32,299.5785714,299.5571429,296.3785714,302.1,297.7,37.51,82.76857143,17.79,1.885714286,28.32857143,7.385714286,33.9,22.8,21.1
-1,1990,27,0.1616,0.1606833,14.41,300.1542857,300.2785714,296.6514286,302.3,298.7,28.4,81.28142857,18.07142857,2.014285714,28.32857143,6.514285714,33.9,24.4,1.1
-1,1990,28,0.155024125,0.17243575,22.27,299.5128571,299.5928571,296.0414286,301.8,298,43.72,81.46714286,17.41857143,2.157142857,27.55714286,7.157142857,31.7,21.7,63.7
-1,1990,29,0.271316675,0.28613335,59.17,299.6671429,299.75,296.3342857,302,297.3,40.9,82.14428571,17.73714286,2.414285714,28.12857143,6.9,32.8,23.9,12.2
-1,1990,30,0.19093095,0.19312855,16.48,299.5585714,299.6357143,295.96,301.8,297.1,42.53,80.74285714,17.34142857,2.071428571,28.11428571,6.357142857,31.7,22.8,32.6
-1,1990,31,0.336069033,0.3797,32.66,299.8628571,299.95,296.1728571,303,298.3,34.6,80.58428571,17.59428571,2.585714286,28.24285714,8.085714286,34.4,22.8,37.6
-1,1990,32,0.122544443,0.1388571,28.8,300.3914286,300.4785714,296.5328571,302.5,298.8,20,79.65,17.95,2.328571429,28.2,7.557142857,33.3,23.3,11.4
-1,1990,33,0.167744433,0.1682429,90.75,299.9585714,299.9571429,297.0357143,302.6,298.5,101.9,84.17857143,18.51571429,1.857142857,28.04285714,6.685714286,32.8,22.8,44.7
-1,1990,34,0.174744025,0.17054285,32.4,300.3328571,300.4142857,296.7285714,302.5,298.1,25.9,80.94714286,18.17428571,2.485714286,28.34285714,7.014285714,33.3,23.3,5.4
-1,1990,35,0.283033925,0.27424285,40.94,300.1185714,300.2214286,297.0171429,302.2,298.7,39.8,83.34857143,18.51571429,1.9,28.65714286,6.528571429,32.2,24.4,13.7
-1,1990,36,0.23742115,0.23292145,28.86,300.53,300.6357143,296.1171429,303.8,298,30.4,77.17285714,17.56,3.471428571,28.32857143,7.614285714,32.8,23.3,14.2
-1,1990,37,0.2091875,0.138125,64.56,300.6742857,300.7928571,297.1928571,302.9,299,24.18,81.55142857,18.77714286,2.9,28.68571429,8.057142857,33.9,24.4,25.9
-1,1990,38,0.2348244,0.2255893,143.73,299.8571429,299.9,296.4314286,301.7,298.7,36.6,81.63714286,17.89285714,1.742857143,28.24285714,8.114285714,32.8,23.9,3.3
-1,1990,39,0.2051649,0.2218298,51.39,300.4271429,300.6,296.0285714,302.4,299.1,16.4,77.04857143,17.46857143,2.257142857,28.34285714,7.728571429,32.8,24.4,15.8
-1,1990,40,0.20799285,0.2068357,31.18,300.7757143,300.85,296.6642857,303.3,299.1,36.1,78.52,18.18,2.9,28.77142857,8.028571429,33.3,23.9,11.7
-1,1990,41,0.14397085,0.16443335,51.42,299.8571429,299.9428571,296.9285714,301.8,298.1,132.4,84.11,18.51285714,2.571428571,28.62857143,7.314285714,33.3,24.4,57.7
-1,1990,42,0.1391889,0.16575,143.55,299.1957143,299.3071429,296.5442857,301.5,297.5,279.6,85.62142857,18.11571429,1.871428571,27.62857143,7.4,32.8,23.3,61.8
-1,1990,43,0.1221768,0.1263786,127.03,298.9028571,299.0428571,296.2571429,300.9,297.2,94.52,85.50285714,17.75,1.8,26.77142857,7.628571429,32.2,21.7,91.5
-1,1990,44,0.262395825,0.274075,101.35,299.7271429,299.7785714,296.5342857,301.4,298.5,22.26,82.78714286,18.03428571,1.785714286,27.97142857,8.642857143,33.3,22.8,6.3
-1,1990,45,0.17483305,0.1800518,20.46,299.9728571,300.0357143,296.5642857,302.2,298.5,14.4,81.71571429,18.07428571,2.385714286,28.47142857,8.428571429,33.3,23.9,6.6
-1,1990,46,0.23266785,0.22974285,20,300.35,300.5,295.6871429,302.3,298.8,7.1,75.72857143,17.08571429,2.2,27.54285714,8.6,32.8,22.2,38.9
-1,1990,47,0.21489165,0.20191665,20.04,299.5114286,299.6357143,295.3757143,301.6,297,36.7,78.15142857,16.75285714,2.528571429,26.8,7.414285714,31.7,22.2,9.6
-1,1990,48,0.167915775,0.1591857,33.61,298.2385714,298.2642857,294.8114286,300.2,296.5,44.3,81.38571429,16.20857143,1.985714286,26.2,7.128571429,31.1,20.6,26.7
-1,1990,49,0.179220825,0.18075,9.96,298.5428571,298.6857143,294.7828571,300.8,296.7,71.8,79.90857143,16.16142857,2.057142857,25.98571429,5.542857143,29.4,22.2,69
-1,1990,50,0.19609535,0.2006857,0,298.2028571,298.2785714,292.0042857,300.6,296.1,4.1,68.72285714,13.61571429,2.985714286,24.68571429,7.771428571,29.4,19.4,2.8
-1,1990,51,0.280896425,0.28,52.45,298.2971429,298.3785714,294.5585714,300.9,296,32.31,80.08285714,15.95428571,2.871428571,25.71428571,6.585714286,30.6,21.1,19.8
